# Created At: Sun Aug 25 2024 14:56:20 GMT-0400 (Eastern Daylight Time)
# We regularly expand our single cell data corpus to improve results. Downloaded data and figures may differ in the future.
# Link Generated: https://cellxgene.cziscience.com/gene-expression?diseases=PATO%3A0000461&genes=GRIA1%2CGRIA2%2CGRIA3%2CGRIA4%2CGRIK1%2CGRIK2%2CGRIK3%2CGRIK4%2CGRIK5%2CGRIN1%2CGRIN2A%2CGRIN2B%2CGRIN2C%2CGRIN2D%2CGRIN3A%2CGRIN3B%2CGRID1%2CGRID2&ver=2
# Dataset Filter Values: No selection
# Disease Filter Values: normal
# Self-Reported Ethnicity Filter Values: No selection
# Publication Filter Values: No selection
# Sex Filter Values: No selection
# Organism Filter Value: Homo sapiens
Tissue,Cell Type,Cell Count,Tissue Composition,Gene Symbol,Expression,"Expression, Scaled",Number of Cells Expressing Genes
blood,aggregated,4755206,0.04%,GRIN2D,1.653626850383568,0.13017216105461693,1882
blood,aggregated,4755206,0.05%,GRIN3A,1.6568167129000604,0.1317377199178098,2484
blood,aggregated,4755206,0.03%,GRIN3B,1.6632272216988058,0.13488394606880005,1277
blood,aggregated,4755206,0.10%,GRID1,1.6507669941848806,0.1287685666375649,4987
blood,aggregated,4755206,0.29%,GRID2,1.6722391250273843,0.13930691572888673,13694
blood,mast cell,54,,GRIA1,,,
blood,mast cell,54,,GRIA2,,,
blood,mast cell,54,,GRIA3,,,
blood,mast cell,54,,GRIA4,,,
blood,mast cell,54,,GRIK1,,,
blood,mast cell,54,,GRIK2,,,
blood,mast cell,54,,GRIK3,,,
blood,mast cell,54,,GRIK4,,,
blood,mast cell,54,,GRIK5,,,
blood,mast cell,54,,GRIN1,,,
blood,mast cell,54,,GRIN2A,,,
blood,mast cell,54,,GRIN2B,,,
blood,mast cell,54,,GRIN2C,,,
blood,mast cell,54,,GRIN2D,,,
blood,mast cell,54,,GRIN3A,,,
blood,mast cell,54,,GRIN3B,,,
blood,mast cell,54,,GRID1,,,
blood,mast cell,54,,GRID2,,,
bone marrow,aggregated,461582,0.01%,GRIA1,1.5906631763164814,0.09927009631506549,26
bone marrow,aggregated,461582,0.01%,GRIA2,1.8992328643798828,0.250713617019378,32
bone marrow,aggregated,461582,0.03%,GRIA3,1.7363098360967975,0.1707523053239497,141
bone marrow,aggregated,461582,0.01%,GRIA4,1.621681328975793,0.11449355612393951,33
bone marrow,aggregated,461582,0.01%,GRIK1,1.670746638857085,0.1385744155223656,29
bone marrow,aggregated,461582,0.00%,GRIK2,1.6175840377807618,0.11248263856486024,20
bone marrow,aggregated,461582,0.00%,GRIK3,1.613907207142223,0.11067807966463736,22
bone marrow,aggregated,461582,0.03%,GRIK4,1.6056450153219288,0.1066230623819851,116
bone marrow,aggregated,461582,0.09%,GRIK5,1.7044115489339593,0.15509688258072543,406
bone marrow,aggregated,461582,0.03%,GRIN1,1.6873489148689038,0.14672267903688804,132
bone marrow,aggregated,461582,0.01%,GRIN2A,1.6328837530953544,0.11999161576724673,28
bone marrow,aggregated,461582,0.01%,GRIN2B,1.6495821722622575,0.1281870655688895,58
bone marrow,aggregated,461582,0.15%,GRIN2C,1.8297987196180556,0.21663589731262758,675
bone marrow,aggregated,461582,0.02%,GRIN2D,1.6762377806384154,0.14126942373678344,99
bone marrow,aggregated,461582,0.01%,GRIN3A,1.702898354365908,0.1543542188591701,29
bone marrow,aggregated,461582,0.01%,GRIN3B,1.8036074484548261,0.20378143211361616,62
bone marrow,aggregated,461582,0.00%,GRID1,1.6768440008163452,0.1415669517235532,8
bone marrow,aggregated,461582,0.00%,GRID2,1.6522468990749783,0.12949489205296955,18
bone marrow,basophil mast progenitor cell,2164,,GRIA1,,,
bone marrow,basophil mast progenitor cell,2164,,GRIA2,,,
bone marrow,basophil mast progenitor cell,2164,,GRIA3,,,
bone marrow,basophil mast progenitor cell,2164,,GRIA4,,,
bone marrow,basophil mast progenitor cell,2164,,GRIK1,,,
bone marrow,basophil mast progenitor cell,2164,,GRIK2,,,
bone marrow,basophil mast progenitor cell,2164,,GRIK3,,,
bone marrow,basophil mast progenitor cell,2164,,GRIK4,,,
bone marrow,basophil mast progenitor cell,2164,0.00%,GRIK5,1.709450125694275,0.15756977552335413,8
bone marrow,basophil mast progenitor cell,2164,,GRIN1,,,
bone marrow,basophil mast progenitor cell,2164,,GRIN2A,,,
bone marrow,basophil mast progenitor cell,2164,,GRIN2B,,,
bone marrow,basophil mast progenitor cell,2164,0.00%,GRIN2C,1.865124225616455,0.23397337149110134,3
bone marrow,basophil mast progenitor cell,2164,,GRIN2D,,,
bone marrow,basophil mast progenitor cell,2164,,GRIN3A,,,
bone marrow,basophil mast progenitor cell,2164,0.00%,GRIN3B,1.502213478088379,0.05585969593203905,1
bone marrow,basophil mast progenitor cell,2164,,GRID1,,,
bone marrow,basophil mast progenitor cell,2164,,GRID2,,,
bone marrow,mast cell,789,,GRIA1,,,
bone marrow,mast cell,789,,GRIA2,,,
bone marrow,mast cell,789,,GRIA3,,,
bone marrow,mast cell,789,0.00%,GRIA4,2.3579609394073486,0.47585366614110913,1
bone marrow,mast cell,789,,GRIK1,,,
bone marrow,mast cell,789,,GRIK2,,,
bone marrow,mast cell,789,,GRIK3,,,
bone marrow,mast cell,789,,GRIK4,,,
bone marrow,mast cell,789,0.00%,GRIK5,1.7389310201009114,0.17203876134783264,3
bone marrow,mast cell,789,,GRIN1,,,
bone marrow,mast cell,789,,GRIN2A,,,
bone marrow,mast cell,789,,GRIN2B,,,
bone marrow,mast cell,789,,GRIN2C,,,
bone marrow,mast cell,789,,GRIN2D,,,
bone marrow,mast cell,789,,GRIN3A,,,
bone marrow,mast cell,789,,GRIN3B,,,
bone marrow,mast cell,789,,GRID1,,,
bone marrow,mast cell,789,,GRID2,,,
breast,aggregated,2213598,0.09%,GRIA1,1.9932154668623645,0.2968395223026489,2028
breast,aggregated,2213598,0.11%,GRIA2,1.8646149228186173,0.23372340977485764,2401
breast,aggregated,2213598,0.35%,GRIA3,1.8704540632240314,0.23658921291460422,7769
breast,aggregated,2213598,0.80%,GRIA4,2.21931195406415,0.4078058594552487,17802
breast,aggregated,2213598,0.40%,GRIK1,2.0975547634512237,0.3480484097419802,8949
breast,aggregated,2213598,0.10%,GRIK2,1.9664510001242819,0.2837037373264011,2263
breast,aggregated,2213598,0.12%,GRIK3,1.8669502263948001,0.23486955798439219,2702
breast,aggregated,2213598,0.10%,GRIK4,1.9286182740738735,0.2651357397149884,2308
breast,aggregated,2213598,0.08%,GRIK5,1.83323865833849,0.2183241915650515,1818
breast,aggregated,2213598,0.02%,GRIN1,1.7827816092811817,0.19356027777446905,458
breast,aggregated,2213598,0.22%,GRIN2A,1.810271564251609,0.20705212653917698,4817
breast,aggregated,2213598,0.19%,GRIN2B,1.9609748324592076,0.28101607828778685,4290
breast,aggregated,2213598,0.06%,GRIN2C,1.8234299076096647,0.21351013561092588,1402
breast,aggregated,2213598,0.06%,GRIN2D,1.9220573050076843,0.2619156688750697,1220
breast,aggregated,2213598,0.06%,GRIN3A,1.8971051050101215,0.24966932983682746,1235
breast,aggregated,2213598,0.02%,GRIN3B,1.881934489678899,0.2422237138677725,436
breast,aggregated,2213598,0.27%,GRID1,1.9097661838810807,0.2558832854984058,5941
breast,aggregated,2213598,0.11%,GRID2,1.9812744870648227,0.2909789854736807,2341
breast,mast cell,1299,0.00%,GRIA1,1.679175853729248,0.14271140637530777,4
breast,mast cell,1299,0.00%,GRIA2,2.055955410003662,0.32763178170356005,2
breast,mast cell,1299,0.00%,GRIA3,2.1709046614797494,0.38404794965291217,19
breast,mast cell,1299,0.00%,GRIA4,2.1863396167755127,0.3916233015501594,32
breast,mast cell,1299,0.00%,GRIK1,2.0868769403713854,0.3428078200689718,67
breast,mast cell,1299,0.00%,GRIK2,1.728904088338216,0.16711762389737617,3
breast,mast cell,1299,0.00%,GRIK3,2.168795108795166,0.3830125981649886,2
breast,mast cell,1299,0.00%,GRIK4,1.7714381217956543,0.18799298536588804,6
breast,mast cell,1299,0.00%,GRIK5,1.8121085848127092,0.2079537214531987,7
breast,mast cell,1299,,GRIN1,,,
